name,location,url,description
Paws Assisting Wounded Warriors,"Palos Heights, IL",http://www.pawws.org/,Paws Assisting Wounded Warriors is dedicated to training service dogs for disabled veterans!. We are committed to providing these trained service dogs and all related expenses at no cost to our veterans.
Paws for Patriots TM (Southeastern Guide Dogs),Florida,http://www.guidedogs.org/index.php?page=paws-for-patriots-01,"Southeastern Guide Dogs' Paws for Patriots™ Program provides professionally trained guide dogs, 26 days of residential training and lifetime follow-up services to American veterans - free of charge. The program also provides therapy dogs to individuals and military facilities such as the National Naval Center in Bethesda, Maryland.  "
Paws for Peace (Embrace a Vet),"East Harpswell, ME",http://embraceavet.org/paws-for-peace/,The Paws for Peace program was initiated after recognizing the lack of opportunity for veterans in Maine living with PTS(d) and or TBI to obtain service dogs.  EAV offers assistance with locating dogs and providing various levels of training depending upon the needs of the veteran. Training is done in a group setting with other veterans under the direction of a professional trainer.
Paws for PTSD,"Waco, TX",http://www.paws4ptsd.org/,None
Paws for Purple Hearts,"DC Metro , San Antonio, San Diego, San Francisco Bay, Fairbanks, AK",http://www.pawsforpurplehearts.org/,"For warriors and veterans suffering from the visible and invisible wounds of war or service, Paws for Purple Hearts is transforming and dramatically improving the lives of those facing the challenges of Post-Traumatic Stress (PTS), Traumatic Brain Injury (TBI), Military Sexual Trauma (MST), and Mobility Impairments. We pioneered Canine Assisted Therapy in which we involve warriors with PTS, TBI, or MST in the training of service dogs for their injured comrades – Warriors Helping Warriors. Interacting with our puppies and dogs under the caring supervision of our professional trainers reduces the severity of trauma related symptoms and use of prescription drugs while speeding recovery. All of the Paws for Purple Hearts services and canines are provided free of charge to warriors and their families at a host facility or one of our growing number of facilities throughout the United States. (DC Metro Area, San Antonio, San Diego, San Francisco Bay Area and Fairbanks, Alaska) We are a 501(c)(3) non-profit organization that relies on volunteers and the generous support of Patriots like you.  "
Paws for Troops,"Sherman Oaks, CA",https://www.facebook.com/Pawsfortroops,"Paws for Troops is a group of volunteers that are enabling military veterans and animals to heal from trauma together.   It is our belief that animals are healing and they offer a level of acceptance to us that is unequaled.  With that in mind, we also believe that the military training the veterans have received bring a level of trust to animals in distress.   As an organization, we are looking to assist military organizations, such as the VA, the America Legion and others, by facilitating the veterans as volunteers at local animal shelters and rescue groups.   The goal, at all times, is to maintain dignity for both the veterans and the animals.  We believe that we can assist in raising the awareness for the needs of both group and this can offer new opportunities for the veterans."
"Paws for Veterans, Inc.","Melbourne, FL",http://www.pawsforveterans.com/,Paws for Vets Inc. is a community-based organization whose purpose is to provide dogs to be trained as psychiatric service dogs to aide in the rehabilitation of veterans struggling with Post Traumatic Stress. This is a type of animal assisted therapy that works with the bond between animals and humans.The relationship that forms allows for emotional healing. Stress is decreased and confidence is increased. Our dogs are trained specifically for their companions needs.
Paws 4 Hearts Working Therapy Dogs,"San Antonio, TX",http://www.paws4hearts.net/,"Paws 4 Hearts Working Therapy Dogs is a non-profit organization dedicated to “changing lives one paw print at a time.” We are an exceptional and elite group of highly trained therapy dog teams that offer pet assistance therapy. Based in San Antonio, Texas, we evaluate and train all interested dog teams in the San Antonio and surrounding areas. We currently have therapy teams based out of Texas and Washington. Our teams provide smiles and encouragement, as well as physical and emotional support for many.  We visit hospitals, nursing homes, rehab centers, military facilities, schools, and other specialized facilities - where ever our physical and emotional support is needed most. Our working therapy dogs are making a difference one paw print at a time."
Paws 4 Liberty,"Lake Worth, FL",http://www.paws4liberty.org/,"Paws 4 Liberty, Inc. is a not-for-profit organization dedicated to increasing the independence of physically and emotionally disabled Soldiers and others in need by raising, training and placing quality service dogs. Our mission is to raise, train and place quality service dogs with disabled Soldiers and others in need."
Paws of War,"Smithtown, NY",https://pawsofwar.org/,Our mission is to train and place shelter dogs to serve and provide independence to our United States military veterans that suffer from the emotional effects of war such as PTSD.
Paws Up for Veterans,"North Highlands, CA",http://www.pawsupforveterans.com/,"Our mission is to serve veterans who have served with distinction and honor and have been diagnosed with Post Traumatic Stress Disorder (PTSD), Traumatic Brain Injury (TBI), and light mobility needs. Service dogs will be provided and task trained with the individual at no cost to the veteran. Paws Up for Veterans is a nonprofit group that provides service dogs to assist with a veteran’s adjustment as they return to civilian life."
Pawz 4 Wounded Vets (Canine Support Team),"Temecula, CA",http://caninesupportteams.org/paws-for-wounded-vets.html,"When wounded soldiers go through rehabilitation therapy, they are surrounded by men and women who have shared their experiences in battle. But when they return home, these veterans leave this support system behind, and some may have concerns when making the transition back to civilian life. Not only does a service dog provide assistance with daily activities, the dog serves as a bridge: people focus on the dog, not the disability, and this leads to conversation and acceptance. For some veterans the dog gives them the motivation to continue to conquer the challenges of everyday life. Canine Support Teams provides service dogs free of charge to those who have been wounded in the service of our country and who are now seeking the enhanced mobility and independence as assistance dog offers."
Pets Assisting Wounded Soldiers (PAWS),"Corinth, TX",https://www.facebook.com/TNTPAWS,"Pets Assisting Wounded Soldiers (PAWS) is a non-breed specific dog/cat rescue organization. We are dedicated to the education, rescue, and rehabilitation of unwanted dogs/cats, with a special focus on senior dogs and Pit Bull breeds often deemed unadoptable. Our purpose is to connect a soldier/veteran with a deserving dog/cat, thus providing companionship/rehabilitating both in the process. PAWS is a 501(c)(3) non-profit organization run solely by volunteers. We operate on donations and through foster homes, we do not have a shelter facility. "
Pets for Patriots,Nationwide,http://www.petsforpatriots.org,"Pets for Patriots is a nationally-operating charity saving lives through companion pet adoption for service and veteran members of the United States military. Through our network of adoption partners, we pair at-risk shelter dogs and cats with veterans in need of a loving, therapeutic companion pet. To ensure these bonds are healthy and enduring, Pets for Patriots reduces the overall costs of pet ownership for military personnel through access to ongoing discounted veterinary care, contributions towards the purchase of pet food and other essentials and sponsor-provided pet discounts. Applicants are welcome from any armed forces and at any stage of their careers. Learn more at www.petsforpatriots.org and let us help you find your new best friend."
Pets for Vets,Regional chapters in various states,http://www.petsforvets.com/,"The Pets for Vets program is dedicated to providing a second chance for shelter pets by rescuing, training and pairing them with America’s veterans who could benefit from having a companion animal. This is a win-win way to give back to our troops who have given so much to us. They fought hard for our country and made us proud. Pets for Vets is a concrete way to say thank you and to benefit our returning veterans.  Many of our Operation Iraqi Freedom and Operation Enduring Freedom veterans suffer from physical and emotional injuries making it difficult to transition back to civilian life. Pets for Vets can help! Our goal is to heal their wounds by bringing together man’s best friend and our returning soldiers while showing them both that we have not forgotten."
Pets 4 Vets,None,http://pets4vets.net/,"Our goal is to help heal the emotional wounds of military veterans by pairing each one with a shelter dog that is specifically selected to match his or her personality. Professional animal trainers rehabilitate the dogs, and teach them to fit into the veteran’s lifestyle. Training can also include desensitization to wheel chairs or crutches as well as recognizing panic or anxiety disorder behaviors."
Pets Healing Vets,Indiana,http://www.petshealingvets.com/,Pets Healing Vets pairs qualifying veterans returning from active duty with symptoms of Post Traumatic Stress Disorder (PTSD) or Traumatic Brain Injury (TBI) with shelter animals in need of homes. This program offered by the Humane Society for Hamilton County serves veterans throughout the state of Indiana. Our mission is to help rehabilitate veterans suffering from Post Traumatic Stress Disorder (PTSD) or Traumatic Brain Injury (TBI) by pairing them up with a carefully selected shelter dog or cat in need of a home.
Pets Loyal 2 Vets,Minnesota,http://petsloyal2vets.org/,PetsLoyal2Vets.org is a community based non-profit outreach organization connecting US military veterans throughout Minnesota with trained therapy companion dogs and jobs to veterans.  Our mission is to connect US military veterans diagnosed with PTSD or TBI with companion and therapy dogs by partnering with area animal shelters and rescue organizations at no cost to the veteran.
Pets N Vets,"Hebron, IN",http://dunesdogtrainingclub.tripod.com/pets-n-vets-program.html,"Our veterans need and deserve every opportunity to heal. This innovative dog training class gives the wonderful dogs in shelters a chance to live and to serve by helping to heal the stresses, PTSD, and wounds so many soldiers battle when they come home. Our goal in this training class is to encourage and support the veteran and the dog to be able to pass a Canine Good Citizen Evaluation. The standards are set by the American Kennel Club. Our training staff will assist the veteran in choosing a compatible dog from the local shelter. The veteran and the dog will attend training classes together to facilitate the formation of the 'Healing Team"" while learning new skills."
Pits for Patriots,"Chicago, IL",http://www.pitsforpatriots.org/,"Not just saving one life...but two. Pits for Patriots is a Chicagoland based organization whose training team is currently training rescued pit bulls to become service dogs for veterans and first responders in need. The Pits for Patriots Program is a non-for-profit organization that trains qualified, rescued pit bulls, to be service dogs and companions for veterans and first responders in need. The Pits for Patriots Program, is committed to helping our country’s patriots, in addition to educating the public as to the loyalty, devotion, and commitment of the pit bull breed."
"Project Heal (East Coast Assistance Dogs Inc., ECAD)","Dobbs Ferry, NY",https://www.ecad1.org/index.php/programs-services/project-heal,"Project HEAL© is a program offered by ECAD. The program honors and empowers Wounded Warriors by providing specially trained Service Dogs to increase independence and make a difference in their lives. Our Project HEAL© Service Dogs are individually trained by at-risk teens in our ECADemy© program. These specially trained dogs pick up dropped objects, open and close doors, open refrigerators, pull wheelchairs, prevent overcrowding in public, interrupt nightmares and flashbacks, remind to take meds, warn of approaching strangers and reduce anxiety and stress, all the while providing unconditional love and comfort. ECAD does not charge our Wounded Warriors for these very special Service Dogs. Each veteran is provided with 13 days of Team Training instruction in our Dobbs Ferry, NY facility. Housing is provided at no cost. Veterans must pay for their own transportation to our facility as well as meals and activity costs during Team Training."
Puppy Jake Foundation,"Des Moines, IA",http://puppyjakefoundation.com/,"The Puppy Jake Foundation is a nonprofit organization dedicated to helping military veterans through the assistance of well bred and highly trained service dogs. Such dogs are expensive, but their costs pale in comparison to the cost of what the veteran, the member of the US Armed Services, has given for our individual freedom and the freedom for our country."
Retrieving Freedom Inc.,"Senatobia, MS",https://www.retrievingfreedom.org/,Retrieving Freedom Inc. provides service dogs to veterans with disabilities related to combat and non combat service. RFI trains service dogs to help with any service connected disability including Post Traumatic Stress.
SA K-9's Service Dog Club,"San Antonio, TX",https://www.facebook.com/servicedogtrainerbeck,"SA K-9’s Service Dog Club offers training of service dogs for wounded veterans with PTSD, TBI, MST, and helps families who need autistic service dogs. We work to educate service dog teams on how to handle conflicts that arise in public, to increase public awareness while educating the community on the rights and laws for service dog teams, help in placing rescue dogs that meet the requirements and temperament to become service dogs."
Seal Dog Foundation,None,http://www.sealdogfoundation.com/,"Seal Dog Foundation has devoted its energy to passionately serve all veterans and their families by providing specially-trained therapy dogs for veterans with combat-related injuries like PTSD (Post Traumatic Stress Disorder), TBI (Traumatic Brain Injury) and other disabilities. We also provide training for veterans who wish to train their dog to become a service animal."
Semper Fido,New Jersey,http://www.semperfido.org/,"The mission of Semper Fido's program is to unite wounded warriors suffering with PTSD with homeless, rescue shelter dogs, who are evaluated and deemed viable, to nurture a healing and rejuvenating bond between the two. The result is a positive, non judgmental, unconditional relationship desperately needed by both. Semper Fido is a non-profit organization committed to the rehabilitation of service members and veterans that have been injured while defending our country and have been diagnosed with post traumatic stress disorder (PTSD) and/or traumatic brain injuries (TBI). It has been proven that using dogs for mental, as well as physical rehabilitation, can greatly benefit these warriors recovery. Semper Fido has partnered with K9 Basics Dog Training in Marlton, NJ to provide all training for the service member/veteran and their dog as a team. Dogs will be obtained from a number of sources including, but not limited to breeders, rescue groups and shelters."
Semper K9 Assistance Dogs,"Woodbridge, VA",http://www.semperk9.org/,"Semper K9 was founded by OEF/OIF combat veteran Marine Corps Dog Trainer & Kennel Master Christopher Baity and his wife Amanda Causey Baity. Christopher has a passion to help his fellow service members and to provide assisted-Llving K9s for wounded, critically-ill and injured members of the U.S. Armed Forces and their families.  Semper K9 will use ‘rescue dogs’ from various organizations throughout the United States to give these unclaimed K9s a special opportunity to be the best friend and companion to a service member.  Semper K9 follows the Assistance Dogs International training standards of ‘Assisted Dog Partners’. These K9 Companions provide assistance in a minimum of three tasks to mitigate the handler’s disability. Our K9 Companions are people orientated and confident. These service dogs are not protective or overly active nor require complex grooming as these could present a difficulty for their owner."
Service Dog Express,"San Antonio, TX",http://www.servicedogexpress.com/,"Service Dog Express was founded to provide the training of service dogs for wounded warriors/veterans with Post Traumatic Stress Disorder (PTSD) and civilians with disabilities such as PTSD, anxiety, depression, etc. We also train service dogs for children and adults with disorders that lie on the autism spectrum. Service Dog Express also help clients with epilepsy and mobility issues."
"Service Dog Project, Inc.","Ipswich, MA",http://www.servicedogproject.org/,"Service Dog Project, Inc. is a non-profit charity whose mission is to increase the number of service dogs available to people who are mobility-impaired. Our main focus is training Great Danes and other large breed dogs to assist balance-impaired people. This would include, but not be restricted to, Parkinson’s and MS patients. Preference is given to veterans and their families."
Service Dogs Alabama,"Montgomery,AL",http://www.servicedogsalabama.com/#,"Service Dogs Alabama is a nonprofit organization providing trained service dogs to children and veterans with disabilities in Alabama. Our mission is to rescue dogs from shelters, train them in prisons while helping to rehabilitate inmates and provide the trained service dogs to children and veterans with disabilities and facilities who serve children and veterans."
Service Dogs by Warren Retrievers,"Madison, VA",http://www.sdwr.org/service-dogs/ptsd/,"Service Dogs by Warren Retrievers has developed a proprietary and unique program for training dogs to support veterans and children who are daily coping with post traumatic stress disorder. There are a number of tasks the dogs can be taught to support those with PTSD including helping with medication reminders,other memory issues such as disorientation, directional challenges, and keeping track of time. Our mission is to provide service dogs that help PTSD victims gain independence over their condition."
Service Pets for Service Vets (Rocke Solid McShane Foundation),"Erie, PA (and surrounding areas)",http://www.rsmf.org/programs/service-pets-for-service-vets/,The mission of the Service Pets for Service Vets ™ program is to provide support and services which enhance the lives of war veterans. Program goals are to increase the amount of Psychiatric Rehabilitative Assistance dogs (PRAD) placements to veterans afflicted with PTSD and help gather and establish statistical evidence of the therapeutic need and benefit of service dogs in the treatment of PTSD.
Shelter to Soldier,"San Diego, CA",http://specialtydogtraining.com/shelter-to-soldier/,"Shelter to Soldier™ is a non-profit organization that rescues shelter dogs and trains them to be service companions for veterans. Through the Shelter to Soldier™ organization, Graham Bloem will provide military personnel battling post-traumatic stress disorder (PTSD) and/or other disabilities with a service dog from a local animal rescue or shelter. Depending on the needs of the service man or woman, a specific breed may also be necessary. The sponsored service dog will serve the critical role of psychological and/or physical assistance for the soldier. Graham’s expertise in training service dogs is unmatched in the field and provides a great platform for him to use his talents to serve our military personnel in honor of their service to our country."
"Shepherds for Lost Sheep, Inc.","Colville, WA",http://www.shepherdsforlostsheepinc.org/,"Shepherds for Lost Sheep, Inc. was founded by veterans hoping to enrich the lives of other veterans dealing with physical and psychological injuries. Our mission is simple: ""To help veterans help themselves heal through the use of service K-9's."" While we primarily train dogs for PTSD, TBI mitigation, we realize that those aren't the only areas of a person's health affected. We have zero paid staff!!! AND We are proud of it!!! All of our staff volunteers their time, expertise, and talent to assist in each dog's training. What does that mean for the veteran? It means all the money donated goes directly to the dogs!!"
Sherri's Project: Wounded Warrior Pack,"Oceanside, CA, North County San Diego and surrounding areas",http://www.woundedwarriorpack.org/,"Sherri's Project: Wounded Warrior Pack is a nonprofit group founded by veterans for veterans. Our mission is to assist combat wounded, injured, or disabled veterans of our Armed Forces who would benefit from the use of personally trained service dog. We also provide no cost service dog training for service members who suffer from Military Sexual Traumas (MST.) Sexual assaults within the armed forces are a serious and unfortunately, widespread issue. We accomplish this by helping them train their personal dog or placing a rescued dog with the veteran. In either case, the veteran and the dog undergo training together to make them a certified service dog team. We can begin the screening and training process within days of being contacted by the veteran, at no cost to the veteran, a distinction which we are proud of.  We are focused on providing world-class service dog training for PTSD / TBI / stability Issues. We will do everything we can to help the service member and their dog get fully trained and certified. We provide these services for combat related issues as well as MST's."
Silver Paw Ranch,"San Andreas, CA",http://www.silverpawranch.com/,"Silver Paw Ranch will be a working ranch for veterans and their families, headquartered in Calaveras County, in the heart of Northern California's beautiful Gold Country. The ranch will be devoted to healing and restoring veterans to their families and society by training and partnering them with a K-9 battle buddy service dog. Each veteran. along with their family, will live and train onsite for up to four weeks with his or her K-9 battle buddy to learn how the dog can help with their individual needs. We will reach out to as many veterans as possible through our web site, social media, and local VA, as well as partnerships with programs like the Wounded Warrior Project, Project Hero, and Ride to Recovery."
Smoky Mountain Service Dogs,Tennessee,http://www.smokymountainservicedogs.org/,"Smoky Mountain Service Dogs is dedicated to serving persons with physical and psychological disabilities by training service dogs to meet client needs, while advancing the knowledge of human and canine interaction, thus leading to more fulfilling and productive lives. With the exception of certain associated fees, Smoky Mountain Service Dogs will provide our qualified dogs to approved disabled veterans for no charge. Should the veteran and his support team want to raise funds through a fundraiser or make personal donations, it will be greatly appreciated but no approved disabled Veteran will be refused a dog due to lack of funds."
Soldier Dogs for Independence,"Illinois, Indiana, Kentucky",http://soldierdogs.org/,"Soldier Dogs for Independence is a nonprofit organization designed to help our local veterans who live with physical and/or mental injuries. We offer hand-picked dogs from local shelters that are available for trial, adoption, or veterans may enroll with their own dog upon SDI approval. Each veteran and their dog will join our 24 week training program. With the help of local dog behavioral trainer and evaluator with a combined 30 years of experience, and volunteers, the veteran will train their Soldier Dog. After completing the 24 week program, they are eligible to take the AKC Canine Good Citizen Test, and the Public Access Test required by Assistance Dogs International. All Soldier Dogs follow the regulations under the American Disabilities Act Approved Service Dogs for America."
Soldier's Best Friend,"Glendale, AZ",http://soldiersbestfriend.org/,"Our mission is to provide United States military veterans suffering from Post-Traumatic Stress Disorder (PTSD) or Traumatic Brain Injury (TBI) with a trained Service or Therapeutic Companion Dog, most of these dogs of which will be rescued from local shelters."
Stiggy's Dogs,"Pinckney, MI",http://stiggysdogs.org/,"Stiggy's Dogs is a non-profit organization that rescues and trains shelter dogs to be service dogs for military veterans living with Post Traumatic Stress Disorder (“PTSD”) or Traumatic Brain Injury (“TBI”). The service dogs are trained and deployed at no cost to the veteran. Stiggy’s Dogs all pass the Canine Good Citizen® Certification test and then are paired with their handlers for further training. Since each veteran has unique qualities and needs, each dog is individually trained to meet that veteran’s needs. Stiggy’s Dogs offers the veteran and dog pairing a lifetime of support after deployment."
Susquehanna Service  Dogs,Pennsylvania,http://www.keystonehumanservices.org/susquehanna-service-dogs/the-dogs.php,"SSD trains service dogs or hearing dogs especially for the unique needs of military veterans. We have experience with a wide range of disabilities, including post-traumatic stress disorder. Veterans who live in Pennsylvania will receive a dog at no cost due to the generous support of the Pennsylvania Chapter of the Eastern Star."
"TADSAW - Train A Dog, Save A Warrior","San Antonio, TX",http://www.tadsaw.org/,"The mission of TADSAW is to provide for the training of a service dog, as designated by the Americans with Disabilities Act guidelines, for any wounded warrior, active duty or veteran, surviving with PTSD/TBI/MST in order to restore and improve the warrior's quality of life with a canine Battle Buddy at no charge to the warrior."
Tender Loving Canines (At Ease),"San Diego County, CA",http://tenderlovingcanines.org/wounded-warrior-service-dogs/,"The Department of Veterans Affairs estimates that approximately 30% of the veterans returning from Iraq and Afghanistan have been diagnosed with post-traumatic stress disorder (PTSD). TLCAD's At Ease program is designed to give back and help heal our countries heroes by placing custom trained Service Dogs with Wounded Warriors (active duty service members or veterans) with PTSD, TBI and/or mobility issues. Our service dogs help Wounded Warriors to mitigate their disability and overcome challenges that inhibit them from functioning independently within their family and community. Our Service Dogs open doors both literally and figuratively for our Wounded Warriors by performing cues and behaviors that allow them to reintegrate into their families, communities and increase their independence and quality of life."
The Battle Buddy Foundation,"West Chester, OH",http://www.tbbf.org/,"Our mission is to ensure that veterans and their families receive programs and services that will help them acclimate back to family and civilian life. We will accomplish this by: Providing highly trained psychiatric and mobility service dogs and therapy dogs to veterans of all eras suffering from Post-Traumatic Stress, Traumatic Brain Injury, and physical limitations at no cost Connecting veterans to employment opportunities within our network of veteran-focused organizations Building a community of peer support for veterans and their families through programs, events, and social media Founded by veterans to serve veterans, we exist to effect long-term and tangible change in the lives of veterans and their families."
The Sam Simon Foundation,California,http://www.samsimonfoundation.com/service-dogs.html,"We provide service dogs trained for veterans diagnosed with PTSD as a result of serving in the Iraq/Afghanistan conflicts. Other tasks we may train for include assistance with hearing loss, TBI (traumatic brain injury), and moderate physical limitations due to injury."
The Tower of Hope,"New York, NY",http://thetowerofhope.org/,"The Tower of Hope's mission is to empower people who are living with a disability or a chronic illness to live more independently by providing them with specially trained service dogs. Our primary focus is on providing these amazing animals to combat-wounded veterans - those that have suffered great physical or mental trauma defending freedom in Iraq and Afghanistan. Having a service dog to help get through the day, and to be a constant companion, is truly a life-altering gift that we can give to these brave men and women."
This Able Veteran,"Carbondale, IL",http://www.thisableveteran.org/,"This Able Veteran specializes in helping American military veterans suffering from PTSD by providing them with a PTSD service dog custom-trained for the individual and teaching the veteran coping mechanisms through our Trauma Resiliency Program. Among other tasks, our service dogs are trained in nightmare interruption and to alert to rising anxiety. Veterans who are selected for the program receive the service dog, travel, equipment and lodging at no cost.  Additionally, This Able Veteran conducts two dog training academies for trainers who wish to learn to train service dogs: A Dog Behavioral Psychology Academy for those looking to become trainers or who wish to improve their training skills; and a PTSD Service Dog Trainers Academy for professional trainers who already have two or more years of experience. There are veteran scholarships available to qualified veterans for the two training academies to help offset the tuition."
U.S. Vets Adopt Pets,"San Francisco, CA",http://usvetsadoptpets.org/,Our ultimate purpose is a suicide prevention measure to aid in the healing and moving on from war and loss with the life enhancing love of a furry friend. Educational emphasis on the health benefits of pet ownership. Our goal is to provide the pet free of charge by paying the pet shelter adoption fee.
Vet Dogs,"Smithtown, NY",http://www.vetdogs.org/,"Helping those who have served our country honorably to live with dignity and independence whether they are visually impaired or have other special needs, by using guide dogs, service dogs, and innovative technologies."
Veteran's Best Friend,"Cleveland, OH",http://www.veteransbestfriend.org/,"Veteran's Best Friend seeks support for the military veteran men and women who suffer with some form of psychological condition and finding homes for shelter and homeless animals so that both may live in dignity as they embark on their journey together. Veteran’s Best Friend will provide our nation’s heroes with accessible, cost-effective animal companionship and (service dog) training. The goal of Veteran's Best Friend is to place appropriate dogs and provide the necessary training so that the dog can be the veterans’ psychiatric service dog. We view this goal as a win-win for both the dog and veteran involved. Not only does such a union benefit the dog and veteran, but it also benefits the community by helping the veteran. Many veterans that suffer from psychological conditions like post-traumatic stress disorder find daily activities very challenging, tasks like going to the store or even work can disable them."
Veterans Moving Forward,"Catharpin, VA",http://www.vetsfwd.org/site/,"Our mission is to provide service dogs to veterans with physical and mental health challenges. Our vision is to be the premier, national, not-for-profit organization for veterans seeking and receiving assistance/service or skilled companion dogs at no cost to the veterans. Be the most effective and trusted resource to provide canine therapy for veterans. Optimize veterans' employment in distributing service dogs to veterans to meet growing demands. Make a meaningful difference in the lives of our veterans and increase their safety and independence within their environment."
Veterans with Dogs,United Kingdom,http://www.veteranswithdogs.org.uk/,"We are the UK's first non-profit organisation training assistance dogs to increase independence and improve quality of life for British ex-servicemen and women with ""invisible injuries"". We work with veterans to train assistance dogs for the specific needs of trauma related mental health conditions. Training is tailored to each individual based on their own specific needs. We give veterans the opportunity to meet in an informal and safe environment, amongst peers, and to access professional training and support."
Vets Adopt Pets,"San Francisco, CA",http://vetsadoptpets.org/,"Support for U.S. veterans adopting shelter pets for companion or service animal needs.  Our role is to pull together the many organizations, information and resources that exist to enable veterans to heal with a service dog or enjoy a companion animal adopted from a pet shelter.  And to encourage pet shelters to honor our veterans with adoption fee waivers."
Vets Helping Heroes,"Greenacres, FL",http://www.vetshelpingheroes.org/,Vets Helping Heroes is a not-for-profit organization created to solicit and provide funds for qualified training facilities so that they may provide assistance dogs and training to veterans and active-duty military personnel who have been wounded in the post 9/11 conflicts.
"Vets to Vets United, Inc.","Durham, NC",http://www.vetstovetsunited.org/,"Vets to Vets United, Inc. (Veterinarians to Veterans United, Inc.) is a nonprofit organization consisting of local veterinarians and volunteers working together to provide companion/therapeutic/ service animals and discounted veterinary care to our U.S. military veterans suffering from loneliness, depression, Post Traumatic Stress Disorder, Traumatic Brain Injury and physical disabilities. This service will also significantly reduce the number of animals euthanized at the local animal shelters. It is the aim of this organization to provide these services and training at no cost to the veteran."
*Wags for Warriors of Virginia,Virginia,http://www.wagsforwarriors.org/,"Wags for Warriors of Virginia is a non-profit, NO KILL animal shelter that is training rescue dogs to be donated to injured and disabled service members and those also suffering from PTSD (Post Traumatic Stress Disorder). Our mission is to outfit every wounded military member or victim of PTSD with a companion and service dog to help them with their everyday routines. Our rescue dogs will also be provided to local area children’s hospitals, libraries, VA hospitals and other organizations that would like to use them to lift spirits and provide love & smiles."
Wag 4 Tags,North Carolina,http://www.wags4tags.org/,"Uniting our psychologically and emotionally impaired veterans across North Carolina with trained companion, emotional support dogs rescued from kill shelters so the two can heal in unconditional love, trust and loyalty."
Wags 4 Warriors,Ohio,http://www.wags4warriors.org/,"The mission of Wags 4 Warriors is to unite veterans returning home from war who suffer from PTSD and/or TBI with an appropriate dog, and to provide all of the training, equipment and support for the dog to become the veterans service dog at NO COST to the veteran. The ultimate goal is for the service dog to take away the struggle the veterans face with everyday life."
War Dogs Making it Home,"Chicago, IL",http://wardogsmakingithome.org/,"War Dogs helps veterans better manage the invisible and lifelong challenges of Post Traumatic Stress Disorder and brain injury (PTSD/TBI) by pairing them with dogs they help rescue and train as service dogs, to be their “four legged lifeline” wherever they go. The service dog becomes the veteran's partner in the struggle to achieve confidence, reconnect with their loved ones, and resume normal activities in their communities."
Warrior Canine Connection,Maryland,http://warriorcanineconnection.org/,"Warrior Canine Connection TM (WCC) is a therapeutic service dog training program that harnesses the healing power of the human-animal bond. WCC TM teaches service members with Post Traumatic Stress Disorder (PTSD) the skill of training mobility service dogs to be partnered with Veterans with mobility impairments. This worthy mission is specifically designed to reduce the symptoms of PTSD in the warriors who train the dogs--and the great news is, it works! These warrior-trained service dogs are then partnered with veterans to provide them years of loyal companionship as well as an increased sense of wellbeing and independence."
*Warrior Service Dogs,"Asheville, NC",http://warriorservicedogs.org/,"Warrior Service Dogs is a non-profit organization started by three OEF/OIF combat veterans based in Western North Carolina. Our training is led by certified dog trainer and behavior modification specialist Shane Cox, as well as certified dog trainer Chris Stewart. We are currently holding training sessions to any veteran. If you have a dog bring him/her out and we can see what we can do. If you do not own a dog we would love to scout the local shelters to help you find the right dog. Warrior Service Dogs' goal is to work directly with the Veterans Affairs Medical Centers and support our troops in any and every way possible, through the assistance of well trained service dogs. No matter the disability or the specific needs of our disabled veterans, we will go beyond any expectations to provide the assistance they may need by teaming them with a Warrior Service Dog. We will gladly train a veteran’s pet dog to become their service dog or we will be more then happy to select a dog from local shelters and train it for the veterans needs."
Working Dogs for Vets,Tennessee,http://www.workingdogsforvets.org/,"WDFV is a non-profit corporation with programs designed to completely eliminate the cost & waiting list for our veterans in need of a service dog and also greatly help with shelter overpopulation. We provide disabled veterans and veteran’s family members with service dogs. Program dogs are from local shelters, fully vaccinated, spayed or neutered, and pass an evaluation test (The baseline test to determine if a dog will make a good service animal)."
